Timestamp,Station_Name,Latitude,Longitude,PM2.5 (µg/m³),PM10 (µg/m³),NO₂ (µg/m³),SO₂ (µg/m³),CO (mg/m³),O₃ (µg/m³),Cluster_Label,Is_Anomaly
2023-01-13 10:00:00,Chandkheda,23.11,72.57,168.2,263.55,6.81,11.6,0.58,14.97,0.0,False
2023-01-13 11:00:00,Chandkheda,23.11,72.57,129.88,205.25,5.95,8.59,0.53,24.09,0.0,False
2023-01-13 12:00:00,Chandkheda,23.11,72.57,91.47,150.48,5.44,5.22,0.48,28.66,0.0,False
2023-01-13 13:00:00,Chandkheda,23.11,72.57,68.73,118.97,5.21,4.9,0.4,28.0,0.0,False
2023-01-13 14:00:00,Chandkheda,23.11,72.57,46.9,80.95,5.14,4.31,0.38,28.97,0.0,False
2023-01-13 15:00:00,Chandkheda,23.11,72.57,40.85,71.15,5.23,4.45,0.46,30.28,0.0,False
2023-01-13 16:00:00,Chandkheda,23.11,72.57,38.63,70.8,5.34,4.06,0.43,27.88,0.0,False
2023-01-13 17:00:00,Chandkheda,23.11,72.57,35.4,61.5,5.58,4.04,0.49,25.7,0.0,False
2023-01-13 18:00:00,Chandkheda,23.11,72.57,42.08,74.18,6.48,4.3,0.58,19.68,0.0,False
2023-01-13 19:00:00,Chandkheda,23.11,72.57,45.0,78.38,7.51,4.86,0.78,17.08,0.0,False
2023-01-13 20:00:00,Chandkheda,23.11,72.57,47.5,81.85,7.69,7.69,0.75,15.81,0.0,False
2023-01-13 21:00:00,Chandkheda,23.11,72.57,62.5,107.65,8.32,10.26,0.88,12.45,0.0,False
2023-01-13 22:00:00,Chandkheda,23.11,72.57,64.3,109.22,8.46,7.16,0.87,12.7,0.0,False
2023-01-13 23:00:00,Chandkheda,23.11,72.57,69.8,118.05,7.86,6.3,0.77,15.61,0.0,False
2023-01-14 00:00:00,Chandkheda,23.11,72.57,63.0,111.25,8.08,8.27,0.64,12.22,0.0,False
2023-01-14 01:00:00,Chandkheda,23.11,72.57,49.45,86.1,7.43,6.29,0.61,14.13,0.0,False
2023-01-14 02:00:00,Chandkheda,23.11,72.57,51.05,85.4,6.92,5.54,0.66,13.73,0.0,False
2023-01-14 03:00:00,Chandkheda,23.11,72.57,51.05,85.12,6.74,4.95,0.59,14.01,0.0,False
2023-01-14 04:00:00,Chandkheda,23.11,72.57,43.33,73.4,6.7,5.89,0.68,13.23,0.0,False
2023-01-14 05:00:00,Chandkheda,23.11,72.57,47.88,80.78,7.08,5.34,0.72,10.47,0.0,False
2023-01-14 06:00:00,Chandkheda,23.11,72.57,59.2,100.8,7.03,5.99,0.81,9.85,0.0,False
2023-01-14 07:00:00,Chandkheda,23.11,72.57,68.53,115.9,7.79,5.54,0.94,6.23,0.0,False
2023-01-14 08:00:00,Chandkheda,23.11,72.57,97.6,165.72,8.16,6.69,0.91,10.31,0.0,False
2023-01-14 09:00:00,Chandkheda,23.11,72.57,85.15,148.25,7.02,5.02,0.77,20.74,0.0,False
2023-01-14 10:00:00,Chandkheda,23.11,72.57,69.25,128.85,6.0,5.68,0.76,29.38,0.0,False
2023-01-14 11:00:00,Chandkheda,23.11,72.57,58.47,115.25,5.75,5.35,0.72,31.79,0.0,False
2023-01-14 12:00:00,Chandkheda,23.11,72.57,52.1,95.88,5.53,5.28,0.67,35.82,0.0,False
2023-01-14 13:00:00,Chandkheda,23.11,72.57,49.2,90.2,5.33,5.45,0.53,36.02,0.0,False
2023-01-14 14:00:00,Chandkheda,23.11,72.57,47.17,83.45,5.42,7.05,0.58,36.61,0.0,False
2023-01-14 15:00:00,Chandkheda,23.11,72.57,47.52,84.35,5.6,9.92,0.54,37.41,0.0,False
2023-01-14 16:00:00,Chandkheda,23.11,72.57,43.2,77.97,5.96,9.42,0.48,37.57,0.0,False
2023-01-14 17:00:00,Chandkheda,23.11,72.57,46.25,79.78,5.84,5.0,0.57,36.6,0.0,False
2023-01-14 18:00:00,Chandkheda,23.11,72.57,52.53,88.5,6.82,4.53,0.66,21.85,0.0,False
2023-01-14 19:00:00,Chandkheda,23.11,72.57,52.82,90.1,7.53,4.92,0.8,18.75,0.0,False
2023-01-14 20:00:00,Chandkheda,23.11,72.57,58.52,104.03,7.63,6.76,0.7,19.95,0.0,False
2023-01-14 21:00:00,Chandkheda,23.11,72.57,65.03,113.78,7.4,7.58,0.75,17.52,0.0,False
2023-01-14 22:00:00,Chandkheda,23.11,72.57,78.03,145.02,8.43,5.17,0.77,11.53,0.0,False
2023-01-14 23:00:00,Chandkheda,23.11,72.57,57.15,115.55,8.97,5.09,0.59,8.53,0.0,False
2023-01-15 00:00:00,Chandkheda,23.11,72.57,38.05,66.9,7.01,6.09,0.56,16.15,0.0,False
2023-01-15 01:00:00,Chandkheda,23.11,72.57,44.15,77.67,6.6,5.4,0.64,14.92,0.0,False
2023-01-15 02:00:00,Chandkheda,23.11,72.57,41.23,74.72,6.5,5.51,0.59,13.27,0.0,False
2023-01-15 03:00:00,Chandkheda,23.11,72.57,39.3,69.08,6.67,5.03,0.63,10.65,0.0,False
2023-01-15 04:00:00,Chandkheda,23.11,72.57,43.75,75.45,6.83,4.61,0.58,11.45,0.0,False
2023-01-15 05:00:00,Chandkheda,23.11,72.57,39.8,71.18,6.62,4.41,0.54,14.82,0.0,False
2023-01-15 06:00:00,Chandkheda,23.11,72.57,43.27,77.3,6.69,5.12,0.56,15.92,0.0,False
2023-01-15 07:00:00,Chandkheda,23.11,72.57,43.03,77.67,6.34,4.07,0.54,18.99,0.0,False
